Question Text,Answer 1,Answer 2,Answer 3,Answer 4,Time Limit (sec),Correct Answer(s)
"What is the SIMPLE PAST form of ""arise""?",cut,arose,upheld,bent,20,2
"What is the PAST PARTICIPLE form of ""awake""?",awoken,cost,withstood,drunk,20,1
"What is the SIMPLE PAST form of ""be""?",was,cast,bet,bent,20,1
"What is the PAST PARTICIPLE form of ""bear""?",upset,forgone,strung,borne,20,4
"What is the SIMPLE PAST form of ""beat""?",swept,beat,ate,leant,20,2
"What is the PAST PARTICIPLE form of ""become""?",fallen,mown,become,laid,20,3
"What is the SIMPLE PAST form of ""begin""?",caught,began,read,chose,20,2
"What is the PAST PARTICIPLE form of ""behold""?",sprung,beheld,shrunk,blown,20,2
"What is the SIMPLE PAST form of ""bend""?",left,stood,bent,trod,20,3
"What is the PAST PARTICIPLE form of ""bet""?",blown,wrung,bet,brought,20,3
"What is the SIMPLE PAST form of ""bid""?",had,bid,clung,read,20,2
"What is the PAST PARTICIPLE form of ""bite""?",felt,bitten,overtaken,proved,20,2
"What is the SIMPLE PAST form of ""bleed""?",woke,bled,was,wrote,20,2
"What is the PAST PARTICIPLE form of ""blow""?",spread,felt,heard,blown,20,4
"What is the SIMPLE PAST form of ""break""?",upheld,broke,strove,wore,20,2
"What is the PAST PARTICIPLE form of ""breed""?",bought,bred,got,bet,20,2
"What is the SIMPLE PAST form of ""bring""?",brought,froze,broadcast,stuck,20,1
"What is the PAST PARTICIPLE form of ""broadcast""?",shrunk,run,broadcast,undone,20,3
"What is the SIMPLE PAST form of ""build""?",hit,struck,built,spread,20,3
"What is the PAST PARTICIPLE form of ""burn""?",partaken,burnt,sweated,rung,20,2
"What is the SIMPLE PAST form of ""burst""?",burst,caught,cut,blew,20,1
"What is the PAST PARTICIPLE form of ""buy""?",bought,sworn,set,woken,20,1
"What is the SIMPLE PAST form of ""cast""?",slept,swung,cast,spoke,20,3
"What is the PAST PARTICIPLE form of ""catch""?",woken,dealt,caught,sprung,20,3
"What is the SIMPLE PAST form of ""choose""?",sheared,cut,chose,left,20,3
"What is the PAST PARTICIPLE form of ""cling""?",clung,spat,flung,hurt,20,1
"What is the SIMPLE PAST form of ""come""?",threw,came,upheld,sped,20,2
"What is the PAST PARTICIPLE form of ""cost""?",cost,spun,spoken,felt,20,1
"What is the SIMPLE PAST form of ""creep""?",crept,sold,became,cut,20,1
"What is the PAST PARTICIPLE form of ""cut""?",stung,had,cut,bought,20,3
"What is the SIMPLE PAST form of ""deal""?",broke,dealt,drank,sprang,20,2
"What is the PAST PARTICIPLE form of ""dig""?",fitted,hurt,stood,dug,20,4
"What is the SIMPLE PAST form of ""dive""?",lost,dived,sang,withdrew,20,2
"What is the PAST PARTICIPLE form of ""do""?",gone,done,held,dealt,20,2
"What is the SIMPLE PAST form of ""draw""?",drew,ground,swept,stood,20,1
"What is the PAST PARTICIPLE form of ""dream""?",got,bred,dreamt,torn,20,3
"What is the SIMPLE PAST form of ""drink""?",brought,spent,drank,heard,20,3
"What is the PAST PARTICIPLE form of ""drive""?",drawn,spun,found,driven,20,4
"What is the SIMPLE PAST form of ""dwell""?",dwelt,forgave,caught,sat,20,1
"What is the PAST PARTICIPLE form of ""eat""?",set,overtaken,sawn,eaten,20,4
"What is the SIMPLE PAST form of ""fall""?",was,wed,fell,withheld,20,3
"What is the PAST PARTICIPLE form of ""feed""?",held,fed,mistaken,cost,20,2
"What is the SIMPLE PAST form of ""feel""?",felt,drew,set,foresaw,20,1
"What is the PAST PARTICIPLE form of ""fight""?",shone,stood,fought,built,20,3
"What is the SIMPLE PAST form of ""find""?",cast,fitted,heard,found,20,4
"What is the PAST PARTICIPLE form of ""fit""?",bred,found,fitted,rung,20,3
"What is the SIMPLE PAST form of ""flee""?",rode,fled,knelt,showed,20,2
"What is the PAST PARTICIPLE form of ""fling""?",flung,learnt,eaten,foretold,20,1
"What is the SIMPLE PAST form of ""fly""?",bought,made,blew,flew,20,4
"What is the PAST PARTICIPLE form of ""forecast""?",forecast,burnt,bought,spelt,20,1
"What is the SIMPLE PAST form of ""foresee""?",heard,foresaw,sank,withheld,20,2
"What is the PAST PARTICIPLE form of ""foretell""?",foretold,bitten,sworn,sunk,20,1
"What is the SIMPLE PAST form of ""forget""?",forgot,fought,kept,withdrew,20,1
"What is the PAST PARTICIPLE form of ""forgive""?",run,forgiven,drawn,withdrawn,20,2
"What is the SIMPLE PAST form of ""forgo""?",awoke,shrank,forwent,brought,20,3
"What is the PAST PARTICIPLE form of ""forsake""?",hurt,forsaken,sped,drawn,20,2
"What is the SIMPLE PAST form of ""freeze""?",quitted,leapt,fell,froze,20,4
"What is the PAST PARTICIPLE form of ""get""?",got,waylaid,spoken,taught,20,1
"What is the SIMPLE PAST form of ""give""?",clung,gave,wept,dreamt,20,2
"What is the PAST PARTICIPLE form of ""go""?",eaten,striven,gone,knelt,20,3
"What is the SIMPLE PAST form of ""grind""?",oversaw,forwent,ground,won,20,3
"What is the PAST PARTICIPLE form of ""grow""?",caught,hidden,borne,grown,20,4
"What is the SIMPLE PAST form of ""hang""?",hung,mowed,arose,drank,20,1
"What is the PAST PARTICIPLE form of ""have""?",wrung,sewn,had,striven,20,3
"What is the SIMPLE PAST form of ""hear""?",stank,heard,dwelt,wore,20,2
"What is the PAST PARTICIPLE form of ""hide""?",hidden,shaken,done,bitten,20,1
"What is the SIMPLE PAST form of ""hit""?",hit,pleaded,woke,fought,20,1
"What is the PAST PARTICIPLE form of ""hold""?",held,sat,overtaken,strung,20,1
"What is the SIMPLE PAST form of ""hurt""?",flung,hurt,beheld,saw,20,2
"What is the PAST PARTICIPLE form of ""keep""?",withdrawn,kept,sawn,heard,20,2
"What is the SIMPLE PAST form of ""kneel""?",slew,knelt,read,bid,20,2
"What is the PAST PARTICIPLE form of ""know""?",known,gone,overseen,lent,20,1
"What is the SIMPLE PAST form of ""lay""?",laid,leant,mistook,sang,20,1
"What is the PAST PARTICIPLE form of ""lead""?",spelt,led,undone,rung,20,2
"What is the SIMPLE PAST form of ""lean""?",flung,leant,hurt,sweated,20,2
"What is the PAST PARTICIPLE form of ""leap""?",leapt,sworn,shaved,overdone,20,1
"What is the SIMPLE PAST form of ""learn""?",learnt,swam,rid,foretold,20,1
"What is the PAST PARTICIPLE form of ""leave""?",arisen,sprung,left,split,20,3
"What is the SIMPLE PAST form of ""lend""?",wet,broke,lent,mistook,20,3
